Time_s,plane_moving_state,TAS_mps,alt_agl_m,MLG_NR,FLG_NR,lat,lon,alt_msl,phi,theta,psi,p,q,r,V_b_tas_0,V_b_tas_1,V_b_tas_2,V_ned_gnd_0,V_ned_gnd_1,V_ned_gnd_2,pos_ned_0,pos_ned_1,pos_ned_2,p_dot,q_dot,r_dot,Accel_b_0,Accel_b_1,Accel_b_2,ArduPlane_Mode,delta_e,delta_aL,delta_aR,delta_r,delta_f,delta_a,pwm_ailL,pwm_ailR,pwm_elev,pwm_rud,pwm_flap,pwm_nlg,pwm_mot0,mot0_thr_cmd,mot1_thr_cmd,total_rotor_force,Lift_Coeff,Moment_Coeff,Drag_Coeff,Lift_N,Drag_N,Side_N
264.57755,1,2.87889,-0.00000,165.36717,12.08597,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.87137,0.20794,-0.00348,2.39393,-1.49695,0.00000,1.99315,-1.24850,0.00000,0.00000,0.00000,0.00000,0.28261,0.00000,-0.00069,15,-0.17453,-0.18762,0.18762,0.06021,0.34907,0.18762,1715.0,1715.0,1100.0,1592.0,1600.0,1500.0,1624.0,0.65500,0.65500,4.81942,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.67725,1,2.95485,-0.00000,165.35394,12.09866,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.93996,0.21577,-0.20303,2.41780,-1.51188,0.00000,2.23566,-1.40014,0.00000,0.00000,0.00000,0.00000,0.27555,0.00000,-0.00067,15,-0.17453,-0.18937,0.18937,0.06152,0.34907,0.18937,1717.0,1717.0,1100.0,1594.0,1600.0,1500.0,1627.0,0.65875,0.65875,4.60058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.77695,1,2.92201,-0.00000,165.35121,12.10129,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.91704,0.16829,-0.02645,2.44085,-1.52629,0.00000,0.18737,-0.12583,0.00000,0.00000,0.00000,0.00000,0.26611,0.00000,-0.00065,15,-0.17453,-0.19199,0.19199,0.06283,0.34907,0.19199,1720.0,1720.0,1100.0,1596.0,1600.0,1500.0,1631.0,0.66375,0.66375,4.55516,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.87665,1,2.94102,-0.00000,165.34312,12.10904,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.93544,0.15586,0.09200,2.46322,-1.54028,0.00000,0.43454,-0.28039,0.00000,0.00000,0.00000,0.00000,0.25614,0.00000,-0.00063,15,-0.17453,-0.19373,0.19373,0.06349,0.34907,0.19373,1722.0,1722.0,1100.0,1597.0,1600.0,1500.0,1635.0,0.66875,0.66875,4.42146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
264.97635,1,2.99950,-0.00000,165.33118,12.12049,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.99604,0.14382,-0.00510,2.48487,-1.55382,0.00000,0.68392,-0.43633,0.00000,0.00000,0.00000,0.00000,0.24646,0.00000,-0.00060,15,-0.17453,-0.19548,0.19548,0.06414,0.34907,0.19548,1724.0,1724.0,1100.0,1598.0,1600.0,1500.0,1639.0,0.67375,0.67375,4.22372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.07605,1,2.97699,-0.00000,165.32936,12.12225,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,2.96994,0.20452,0.00770,2.50589,-1.56696,0.00000,0.93545,-0.59361,0.00000,0.00000,0.00000,0.00000,0.24195,0.00000,-0.00059,15,-0.17453,-0.19722,0.19722,0.06545,0.34907,0.19722,1726.0,1726.0,1100.0,1600.0,1600.0,1500.0,1642.0,0.67750,0.67750,4.19345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.17575,1,3.04164,-0.00000,165.31755,12.13357,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.03284,0.19843,-0.11882,2.52640,-1.57979,0.00000,1.18907,-0.75221,0.00000,0.00000,0.00000,0.00000,0.23470,0.00000,-0.00057,15,-0.17453,-0.19897,0.19897,0.06610,0.34907,0.19897,1728.0,1728.0,1100.0,1601.0,1600.0,1500.0,1646.0,0.68250,0.68250,3.99801,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.27545,1,3.10311,-0.00000,165.30725,12.14347,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.09036,0.26287,-0.09941,2.54638,-1.59228,0.00000,1.44474,-0.91208,0.00000,0.00000,0.00000,0.00000,0.23661,0.00000,-0.00058,15,-0.17453,-0.20071,0.20071,0.06676,0.34907,0.20071,1730.0,1730.0,1100.0,1602.0,1600.0,1500.0,1649.0,0.68625,0.68625,3.82725,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.37515,1,3.07639,-0.00000,165.30540,12.14524,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.06570,0.19126,0.17060,2.56574,-1.60439,0.00000,1.70238,-1.07319,0.00000,0.00000,0.00000,0.00000,0.22626,0.00000,-0.00055,15,-0.17453,-0.20159,0.20159,0.06741,0.34907,0.20159,1731.0,1731.0,1100.0,1603.0,1600.0,1500.0,1653.0,0.69125,0.69125,3.79671,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.47485,1,3.05918,-0.00000,165.30368,12.14689,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.04729,0.22907,0.14199,2.58467,-1.61623,0.00000,1.96196,-1.23550,0.00000,0.00000,0.00000,0.00000,0.22146,0.00000,-0.00054,15,-0.17453,-0.20333,0.20333,0.06807,0.34907,0.20333,1733.0,1733.0,1100.0,1604.0,1600.0,1500.0,1656.0,0.69500,0.69500,3.76816,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.57455,1,3.22951,-0.00000,165.28444,12.16536,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.22137,0.22873,-0.01283,2.60323,-1.62783,0.00000,2.22342,-1.39900,0.00000,0.00000,0.00000,0.00000,0.20792,0.00000,-0.00051,15,-0.17453,-0.20508,0.20508,0.06872,0.34907,0.20508,1735.0,1735.0,1100.0,1605.0,1600.0,1500.0,1659.0,0.69875,0.69875,3.44953,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.67426,1,3.13790,-0.00000,165.29028,12.15975,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.12206,0.31040,-0.05314,2.62136,-1.63917,0.00000,2.48674,-1.56365,0.00000,0.00000,0.00000,0.00000,0.21776,0.00000,-0.00053,15,-0.17453,-0.20595,0.20595,0.06938,0.34907,0.20595,1736.0,1736.0,1100.0,1606.0,1600.0,1500.0,1662.0,0.70250,0.70250,3.54627,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.77396,1,3.19220,-0.00000,165.28305,12.16668,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.18591,0.18367,0.08009,2.63916,-1.65030,0.00000,0.22492,-0.14557,0.00000,0.00000,0.00000,0.00000,0.20771,0.00000,-0.00051,15,-0.17453,-0.20769,0.20769,0.07003,0.34907,0.20769,1738.0,1738.0,1100.0,1607.0,1600.0,1500.0,1665.0,0.70625,0.70625,3.42673,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.87366,1,3.12942,-0.00000,165.28642,12.16345,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.12623,0.02314,-0.13923,2.65655,-1.66118,0.00000,0.49182,-0.31246,0.00000,0.00000,0.00000,0.00000,0.21453,0.00000,-0.00052,15,-0.17453,-0.20857,0.20857,0.07069,0.34907,0.20857,1739.0,1739.0,1100.0,1608.0,1600.0,1500.0,1668.0,0.71000,0.71000,3.48247,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
265.97336,1,3.20263,-0.00000,165.27785,12.17168,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.19535,0.19359,0.09517,2.67372,-1.67191,0.00000,0.76045,-0.48044,0.00000,0.00000,0.00000,0.00000,0.19930,0.00000,-0.00049,15,-0.17453,-0.20944,0.20944,0.07134,0.34907,0.20944,1740.0,1740.0,1100.0,1609.0,1600.0,1500.0,1671.0,0.71375,0.71375,3.34045,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.07306,1,3.31585,-0.00000,165.26601,12.18305,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.31511,0.06732,-0.02021,2.69052,-1.68241,0.00000,1.03080,-0.64950,0.00000,0.00000,0.00000,0.00000,0.18675,0.00000,-0.00046,15,-0.17453,-0.21118,0.21118,0.07199,0.34907,0.21118,1742.0,1742.0,1100.0,1610.0,1600.0,1500.0,1674.0,0.71750,0.71750,3.14428,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.17276,1,3.25276,-0.00000,165.26971,12.17949,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.25157,0.08482,0.02324,2.70705,-1.69275,0.00000,1.30283,-0.81960,0.00000,0.00000,0.00000,0.00000,0.19652,0.00000,-0.00048,15,-0.17453,-0.21206,0.21206,0.07265,0.34907,0.21206,1743.0,1743.0,1100.0,1611.0,1600.0,1500.0,1677.0,0.72125,0.72125,3.20559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.27246,1,3.25578,-0.00000,165.26775,12.18136,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.24569,0.21520,-0.13895,2.72331,-1.70292,0.00000,1.57651,-0.99074,0.00000,0.00000,0.00000,0.00000,0.19055,0.00000,-0.00047,15,-0.17453,-0.21293,0.21293,0.07265,0.34907,0.21293,1744.0,1744.0,1100.0,1611.0,1600.0,1500.0,1680.0,0.72500,0.72500,3.17334,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.37216,1,3.15529,-0.00000,165.27527,12.17415,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.14037,0.30294,-0.04675,2.73938,-1.71297,0.00000,1.85182,-1.16289,0.00000,0.00000,0.00000,0.00000,0.19507,0.00000,-0.00048,15,-0.17453,-0.21380,0.21380,0.07330,0.34907,0.21380,1745.0,1745.0,1100.0,1612.0,1600.0,1500.0,1682.0,0.72750,0.72750,3.29788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.47186,1,3.29419,-0.00000,165.26196,12.18692,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.28344,0.21328,0.15878,2.75524,-1.72288,0.00000,2.12874,-1.33605,0.00000,0.00000,0.00000,0.00000,0.18325,0.00000,-0.00045,15,-0.17453,-0.21468,0.21468,0.07396,0.34907,0.21468,1746.0,1746.0,1100.0,1613.0,1600.0,1500.0,1685.0,0.73125,0.73125,3.07737,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.57156,1,3.50666,-0.00000,165.25581,12.19283,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.50461,-0.00829,0.11958,2.77101,-1.73274,0.00000,2.40725,-1.51021,0.00000,0.00000,0.00000,0.00000,0.18126,0.00000,-0.00044,15,-0.17453,-0.21555,0.21555,0.07396,0.34907,0.21555,1747.0,1747.0,1100.0,1613.0,1600.0,1500.0,1688.0,0.73500,0.73500,2.97549,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.67126,1,3.41869,-0.00000,165.25897,12.18979,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.41631,0.12495,0.02509,2.78675,-1.74259,0.00000,2.68735,-1.68536,0.00000,0.00000,0.00000,0.00000,0.18150,0.00000,-0.00044,15,-0.17453,-0.21642,0.21642,0.07461,0.34907,0.21642,1748.0,1748.0,1100.0,1614.0,1600.0,1500.0,1690.0,0.73750,0.73750,3.02796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
266.77097,1,3.36829,-0.00000,165.26228,12.18661,0.00000,0.00000,0.00000,0.00000,-0.00244,-0.55882,0.00000,-2.93219,0.00000,3.36389,0.17021,-0.02620,2.80249,-1.75243,0.00000,0.26399,-0.17008,0.00000,0.00000,0.00000,0.00000,0.18486,0.00000,-0.00045,15,-0.17453,-0.21642,0.21642,0.07527,0.34907,0.21642,1748.0,1748.0,1100.0,1615.0,1600.0,1500.0,1693.0,0.74125,0.74125,3.08278,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
