Monte Carlo Case #0004  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.232241
roll_theta_aL                0.000638       0.000580    -9.10%
roll_theta_aR               -0.000677      -0.000617    +8.87%
roll_theta_aLcu              0.000108       0.000128   +18.95%
roll_theta_aRcu             -0.000094      -0.000088    +6.24%
roll_theta_b                -0.000381      -0.000429   -12.67%
roll_theta_b_cu              0.000069       0.000076    +9.66%
roll_theta_r                 0.000497       0.000622   +25.25%
roll_Clp                    -0.642739      -0.637847    +0.76%
roll_Clr                     0.398063       0.387118    -2.75%
pitch_Cmq                  -29.186868     -25.553498   +12.45%
yaw_theta0                   0.000281       0.000270    -3.74%
yaw_theta_b                  0.003317       0.003836   +15.63%
yaw_theta_aL                -0.000016      -0.000016    -1.13%
yaw_theta_aR                 0.000001       0.000001   -10.03%
yaw_theta_r                 -0.001842      -0.001474   +19.98%
yaw_theta_bcu               -0.000090      -0.000045   +50.00%
yaw_theta_aLcu              -0.000029      -0.000024   +17.62%
yaw_theta_aRcu               0.000027       0.000025    -7.42%
yaw_Cnp                     -0.139344      -0.158757   -13.93%
yaw_Cnr                     -0.162811      -0.157532    +3.24%
yaw_beta0                   11.999974      10.465976   -12.78%
yaw_kcu                      0.000009       0.000006   -32.92%
yaw_kv                       0.290114       0.281132    -3.10%
yaw_kps_r                    0.655515       0.636769    -2.86%
yaw_M                       59.998281      59.762804    -0.39%
prop_cmyu_J2                 0.532110       0.705709   +32.62%
prop_cmyu_0                  0.036690       0.032385   -11.73%
prop_CT_1                    0.691683       0.573465   -17.09%
prop_CT_J                   -0.734466      -0.817373   -11.29%
prop_CT_JM                   1.647050       1.373293   -16.62%
max_thrust                   4.905000       4.858968    -0.94%

======================================================================
Result
----------------------------------------------------------------------
  Profile result    : climb_timeout
  Takeoff success   : True
  Reached hold      : False
  Max altitude (m)  : 95.7
  Ground roll (m)   : 28.880240431373956
  Liftoff Vlof (m/s): 9.14795207977295
  Exit reason       : climb_timeout
