wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
74.527,12,285599873,771176301,337850,100797,-1783,2135,-27,0.35542,0.10860,2.37207,0.01859,0.02942,0.11778,27.416,17.621,-100.757,-17.838,21.351,-0.272,30.82,27.82,135,84,0.27,0,0,0,0,0,0,20.45,5.49,-0.73,88.07,-1.16
74.544,12,285599711,771176519,337870,100817,-1808,2118,-20,0.35922,0.11354,2.38726,0.02286,0.09651,0.12845,25.611,19.757,-100.777,-18.083,21.186,-0.204,30.28,27.85,135,80,0.20,0,0,0,0,0,0,20.60,6.47,-0.75,-82.47,-1.14
74.568,12,285599547,771176737,337870,100818,-1828,2100,-1,0.36375,0.11776,2.40327,0.02885,0.05811,0.13831,23.782,21.882,-100.779,-18.286,21.009,-0.015,30.01,27.85,136,78,0.02,0,0,0,0,0,0,21.09,6.09,-0.75,-27.54,-1.12
74.586,12,285599382,771176951,337860,100802,-1850,2078,5,0.36874,0.11456,2.41794,0.03476,0.03056,0.15133,21.943,23.975,-100.763,-18.501,20.787,0.059,29.68,27.83,137,77,-0.06,0,0,0,0,0,0,21.44,5.60,-0.74,-0.52,-1.08
74.603,12,285599213,771177164,337840,100785,-1871,2055,12,0.37420,0.11115,2.43368,0.03754,0.02256,0.16064,20.067,26.060,-100.746,-18.718,20.556,0.125,29.89,27.80,138,79,-0.13,0,0,0,0,0,0,21.56,5.51,-0.72,31.86,-1.04
74.626,12,285599042,771177375,337820,100761,-1894,2031,19,0.37974,0.10482,2.44925,0.03882,-0.01065,0.17139,18.167,28.123,-100.721,-18.949,20.318,0.194,29.69,27.78,139,79,-0.19,0,0,0,0,0,0,21.76,5.57,-0.70,11.28,-0.99
74.644,12,285598870,771177582,337790,100735,-1919,2004,17,0.38571,0.10736,2.46891,0.03796,0.13264,0.16781,16.249,30.153,-100.695,-19.198,20.049,0.179,30.40,27.76,140,79,-0.18,0,0,0,0,0,0,21.84,5.68,-0.67,30.79,-0.94
74.667,12,285598695,771177788,337750,100696,-1939,1984,47,0.39135,0.10825,2.48767,0.03452,0.04333,0.17085,14.303,32.166,-100.656,-19.398,19.842,0.474,30.49,27.75,141,78,-0.47,0,0,0,0,0,0,22.06,6.16,-0.63,-40.52,-0.89
74.685,12,285598520,771177989,337700,100647,-1964,1951,41,0.39602,0.09727,2.50248,0.02918,-0.07483,0.18224,12.352,34.133,-100.607,-19.645,19.518,0.419,30.90,27.69,142,77,-0.42,0,0,0,0,0,0,22.13,6.20,-0.58,-48.65,-0.83
74.708,12,285598343,771178187,337660,100607,-1988,1918,34,0.40013,0.09267,2.52005,0.02074,0.01976,0.17738,10.383,36.060,-100.568,-19.889,19.188,0.342,30.53,27.64,143,75,-0.34,0,0,0,0,0,0,21.97,6.71,-0.54,-89.61,-0.76
