Monte Carlo Case #0000  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:44:23.976567
roll_theta_aL                0.000638       0.000540   -15.32%
roll_theta_aR               -0.000677      -0.000621    +8.29%
roll_theta_aLcu              0.000108       0.000111    +2.37%
roll_theta_aRcu             -0.000094      -0.000083   +11.51%
roll_theta_b                -0.000381      -0.000408    -7.12%
roll_theta_b_cu              0.000069       0.000071    +2.64%
roll_theta_r                 0.000497       0.000549   +10.43%
roll_Clp                    -0.642739      -0.675877    -5.16%
roll_Clr                     0.398063       0.428367    +7.61%
pitch_Cmq                  -29.186868     -32.406792   -11.03%
yaw_theta0                   0.000281       0.000264    -6.05%
yaw_theta_b                  0.003317       0.003106    -6.36%
yaw_theta_aL                -0.000016      -0.000019   -19.93%
yaw_theta_aR                 0.000001       0.000001    +8.12%
yaw_theta_r                 -0.001842      -0.001986    -7.82%
yaw_theta_bcu               -0.000090      -0.000090    +0.21%
yaw_theta_aLcu              -0.000029      -0.000027    +8.01%
yaw_theta_aRcu               0.000027       0.000029    +7.44%
yaw_Cnp                     -0.139344      -0.123891   +11.09%
yaw_Cnr                     -0.162811      -0.165483    -1.64%
yaw_beta0                   11.999974      11.153379    -7.05%
yaw_kcu                      0.000009       0.000009    -1.33%
yaw_kv                       0.290114       0.208527   -28.12%
yaw_kps_r                    0.655515       0.497414   -24.12%
yaw_M                       59.998281      46.771664   -22.04%
prop_cmyu_J2                 0.532110       0.443669   -16.62%
prop_cmyu_0                  0.036690       0.039135    +6.66%
prop_CT_1                    0.691683       0.587299   -15.09%
prop_CT_J                   -0.734466      -0.780757    -6.30%
prop_CT_JM                   1.647050       2.003699   +21.65%
max_thrust                   4.905000       4.846751    -1.19%

======================================================================
Result
----------------------------------------------------------------------
  Profile result    : climb_timeout
  Takeoff success   : True
  Reached hold      : False
  Max altitude (m)  : 96.9
  Ground roll (m)   : 32.47093607140993
  Liftoff Vlof (m/s): 11.073904991149902
  Exit reason       : climb_timeout
