time_s,phase,mode,armed,lat,lon,alt_agl_m,airspeed,groundspeed,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,gamma_deg,vN,vE,vD,climb_mps,throttle_pct,navroll_deg,navpitch_deg,ail_out,elev_out,rud_out,aoa_deg,ssa_deg
73.52,TAKEOFF,TAKEOFF,1,28.5601271,77.1154953,4.73,16.71,17.02,-63.27,-2.62,164.47,-6.88,31.61,-22.14,0.54,-16.28,4.96,-0.16,0.16,90,-5.00,3.32,1100,1420,1100,-2.33,2.50
74.12,TAKEOFF,TAKEOFF,1,28.5601125,77.1155010,4.72,16.66,17.02,-63.77,-3.21,160.63,-7.00,31.76,-22.34,-0.03,-15.90,6.05,0.01,-0.01,90,-5.00,3.22,1100,1419,1100,-2.36,2.49
74.33,TAKEOFF,TAKEOFF,1,28.5600846,77.1155155,4.68,16.66,17.03,-64.67,-4.49,152.91,-7.19,32.09,-22.64,-1.35,-14.94,8.16,0.40,-0.40,90,-5.00,3.06,1100,1418,1100,-2.38,2.49
74.53,TAKEOFF,TAKEOFF,1,28.5600589,77.1155341,4.55,16.67,17.07,-65.41,-5.88,145.11,-7.31,32.45,-22.79,-2.72,-13.72,10.14,0.81,-0.81,90,0.00,2.07,1100,1418,1100,-2.37,2.52
74.74,TAKEOFF,TAKEOFF,1,28.5600357,77.1155565,4.34,16.73,17.13,-65.96,-7.34,137.24,-7.36,32.70,-22.81,-4.18,-12.24,11.97,1.25,-1.25,90,0.46,1.92,1100,1417,1100,-2.36,2.58
74.94,TAKEOFF,TAKEOFF,1,28.5600153,77.1155824,4.04,16.78,17.22,-66.31,-8.83,129.32,-7.32,32.96,-22.66,-5.61,-10.52,13.62,1.69,-1.69,90,1.64,1.69,1100,1418,1100,-2.34,2.64
75.14,TAKEOFF,TAKEOFF,1,28.5599983,77.1156115,3.65,16.86,17.33,-66.43,-10.31,121.36,-7.22,33.08,-22.38,-7.04,-8.59,15.04,2.14,-2.14,90,3.32,1.43,1100,1418,1100,-2.33,2.70
75.35,TAKEOFF,TAKEOFF,1,28.5599848,77.1156433,3.18,17.00,17.46,-66.32,-11.70,113.36,-7.03,33.28,-21.97,-8.38,-6.47,16.21,2.57,-2.57,90,5.00,1.23,1100,1418,1100,-2.31,2.78
75.55,TAKEOFF,TAKEOFF,1,28.5599752,77.1156772,2.62,17.21,17.62,-65.98,-12.97,105.32,-6.77,33.49,-21.45,-9.57,-4.19,17.11,2.97,-2.97,90,5.00,1.27,1100,1418,1100,-2.28,2.84
75.76,TAKEOFF,TAKEOFF,1,28.5599698,77.1157129,1.98,17.45,17.80,-65.40,-14.06,97.21,-6.47,33.67,-20.86,-10.60,-1.77,17.71,3.33,-3.33,90,5.00,1.35,1100,1417,1100,-2.23,2.90
75.96,TAKEOFF,TAKEOFF,1,28.5599688,77.1157497,1.27,17.69,18.00,-64.63,-14.93,89.10,-6.12,33.88,-20.22,-11.44,0.71,17.98,3.64,-3.64,90,5.00,1.45,1100,1416,1100,-2.17,2.96
76.17,TAKEOFF,TAKEOFF,1,28.5599723,77.1157868,0.51,17.95,18.22,-63.68,-15.55,80.97,-5.75,34.12,-19.56,-12.00,3.25,17.92,3.87,-3.87,90,5.00,1.58,1100,1414,1100,-2.10,3.01
76.37,TAKEOFF,TAKEOFF,1,28.5599805,77.1158234,-0.29,18.19,18.44,-62.58,-15.90,72.82,-5.38,34.34,-18.91,-12.30,5.78,17.50,4.02,-4.02,90,5.00,1.74,1100,1412,1100,-2.02,3.05
76.58,TAKEOFF,TAKEOFF,1,28.5599899,77.1158592,-0.34,18.04,18.13,-8.33,1.13,71.00,94.77,33.61,18.35,5.64,4.99,17.43,-1.79,1.79,90,5.00,11.36,1100,1420,1279,-3.16,3.24
76.78,TAKEOFF,TAKEOFF,1,28.5599981,77.1158945,0.22,17.82,17.78,0.25,6.64,72.35,20.62,22.78,3.15,7.88,4.60,17.16,-2.46,2.46,90,5.00,11.91,1166,1443,1226,-1.58,2.38
76.98,TAKEOFF,TAKEOFF,1,28.5600058,77.1159290,0.82,17.60,17.19,2.95,11.01,73.39,9.46,21.91,10.21,10.93,4.38,16.62,-3.32,3.32,90,5.00,14.98,1301,1450,1418,0.50,2.24
77.19,TAKEOFF,TAKEOFF,1,28.5600132,77.1159622,1.67,17.30,16.49,6.10,15.15,76.39,13.94,21.31,9.26,16.27,3.93,16.01,-4.81,4.81,90,5.00,14.99,1427,1467,1538,-0.50,-0.52
77.39,TAKEOFF,TAKEOFF,1,28.5600196,77.1159941,2.77,16.92,15.65,8.38,19.16,77.25,5.91,19.57,-3.65,20.66,3.19,15.32,-5.90,5.90,90,5.00,14.94,1543,1485,1549,-1.09,0.24
77.60,TAKEOFF,TAKEOFF,1,28.5600247,77.1160246,4.05,16.52,14.72,8.16,23.03,76.42,-3.09,17.90,-7.60,24.41,2.54,14.50,-6.68,6.68,90,5.00,14.95,1572,1505,1544,-1.36,2.39
77.80,TAKEOFF,TAKEOFF,1,28.5600290,77.1160534,5.47,15.95,13.72,6.82,26.55,75.60,-5.21,16.01,-3.96,28.02,2.06,13.56,-7.30,7.30,90,4.75,14.26,1539,1531,1543,-1.72,4.65
78.00,TAKEOFF,TAKEOFF,1,28.5600326,77.1160804,6.99,15.31,12.70,6.00,29.49,75.58,-2.70,13.60,-0.67,31.31,1.69,12.58,-7.72,7.72,90,3.52,13.37,1547,1559,1584,-2.09,5.27
78.21,TAKEOFF,TAKEOFF,1,28.5600369,77.1161172,9.37,14.30,11.24,5.52,32.96,75.69,-1.50,9.84,-0.95,35.28,1.22,11.17,-7.95,7.95,90,2.22,12.03,1591,1607,1629,-2.77,5.99
78.41,TAKEOFF,TAKEOFF,1,28.5600393,77.1161394,10.96,13.60,10.33,5.35,34.62,75.94,-1.06,7.32,1.74,37.39,1.04,10.27,-7.89,7.89,90,1.65,11.95,1619,1638,1693,-3.17,6.08
78.62,TAKEOFF,TAKEOFF,1,28.5600414,77.1161596,12.53,12.90,9.48,6.10,35.70,77.21,1.63,4.83,7.35,39.00,1.00,9.43,-7.68,7.68,90,1.28,11.91,1675,1671,1831,-3.66,4.58
78.82,TAKEOFF,TAKEOFF,1,28.5600436,77.1161780,14.04,12.12,8.70,8.72,36.07,80.30,6.32,2.37,16.12,40.14,1.05,8.63,-7.33,7.33,90,1.07,11.78,1819,1703,1900,-3.97,1.53
79.03,TAKEOFF,TAKEOFF,1,28.5600458,77.1161950,15.46,11.32,8.06,12.66,35.62,84.60,7.30,0.01,17.56,40.48,0.90,8.00,-6.87,6.87,90,0.88,11.49,1900,1732,1900,-4.18,-1.76
79.23,TAKEOFF,TAKEOFF,1,28.5600475,77.1162109,16.79,10.57,7.57,16.09,34.57,88.25,6.23,-2.45,14.15,39.89,0.56,7.54,-6.32,6.32,90,0.62,11.14,1900,1760,1900,-4.28,-3.99
79.43,TAKEOFF,TAKEOFF,1,28.5600484,77.1162260,17.99,9.87,7.21,18.53,33.13,90.74,4.53,-4.76,10.53,38.51,0.16,7.20,-5.73,5.73,90,0.39,10.83,1900,1783,1900,-4.27,-4.01
79.64,TAKEOFF,TAKEOFF,1,28.5600487,77.1162405,19.07,9.16,6.98,20.09,31.38,92.36,2.85,-6.83,8.75,36.23,-0.22,6.97,-5.11,5.11,90,0.22,10.61,1900,1802,1900,-4.16,-3.06
79.84,TAKEOFF,TAKEOFF,1,28.5600482,77.1162549,20.03,8.67,6.86,21.15,29.28,93.63,1.85,-8.53,9.12,33.17,-0.58,6.83,-4.48,4.48,90,0.11,10.45,1900,1813,1900,-3.77,-1.15
80.05,TAKEOFF,TAKEOFF,1,28.5600472,77.1162690,20.86,8.16,6.84,22.12,26.80,94.99,1.80,-9.75,11.15,29.53,-0.92,6.77,-3.87,3.87,90,0.05,10.30,1900,1811,1900,-3.30,0.27
80.25,TAKEOFF,TAKEOFF,1,28.5600454,77.1162832,21.57,7.80,6.91,23.29,23.94,96.73,2.63,-10.29,14.16,25.41,-1.25,6.79,-3.28,3.28,90,0.01,10.12,1900,1796,1900,-2.68,1.42
80.46,TAKEOFF,TAKEOFF,1,28.5600430,77.1162974,22.16,7.53,7.06,24.82,20.76,99.00,4.10,-9.97,17.58,21.02,-1.60,6.87,-2.71,2.71,90,0.00,9.88,1900,1764,1900,-1.74,2.44
80.66,TAKEOFF,TAKEOFF,1,28.5600400,77.1163117,22.64,7.45,7.29,26.75,17.35,101.85,5.95,-9.04,21.07,16.59,-2.01,7.00,-2.17,2.17,90,-5.74,8.53,1900,1729,1900,-1.04,2.81
80.87,TAKEOFF,TAKEOFF,1,28.5600361,77.1163263,23.01,7.39,7.59,29.07,13.80,105.29,7.93,-6.82,24.42,12.28,-2.49,7.16,-1.65,1.65,90,-5.90,9.48,1900,1648,1900,-0.43,2.92
81.07,TAKEOFF,TAKEOFF,1,28.5600313,77.1163412,23.28,7.58,7.97,31.72,10.36,109.44,9.81,-2.66,27.57,8.22,-3.08,7.34,-1.15,1.15,90,-3.13,10.10,1900,1578,1900,0.38,2.74
81.27,TAKEOFF,TAKEOFF,1,28.5600253,77.1163564,23.46,7.85,8.40,34.60,7.10,114.34,11.47,1.47,30.43,4.63,-3.81,7.48,-0.68,0.68,90,-0.22,10.11,1900,1517,1900,0.91,2.39
81.48,TAKEOFF,TAKEOFF,1,28.5600178,77.1163718,23.54,8.19,8.89,37.59,3.96,119.95,12.90,5.58,32.86,1.48,-4.69,7.54,-0.23,0.23,90,2.72,10.09,1900,1466,1900,1.28,1.89
81.68,TAKEOFF,TAKEOFF,1,28.5600085,77.1163872,23.54,8.54,9.42,40.55,0.91,126.22,14.02,9.75,34.68,-1.16,-5.72,7.48,0.19,-0.19,90,5.62,10.08,1900,1424,1900,1.52,1.07
81.89,TAKEOFF,TAKEOFF,1,28.5599972,77.1164023,23.45,9.02,9.99,43.39,-2.05,133.10,14.76,13.72,35.70,-3.61,-6.89,7.22,0.63,-0.63,90,6.26,9.53,1900,1394,1900,1.59,0.35
82.09,TAKEOFF,TAKEOFF,1,28.5599835,77.1164167,23.27,9.57,10.58,45.95,-4.87,140.41,15.08,16.94,35.79,-5.78,-8.16,6.73,1.07,-1.07,90,6.20,7.09,1900,1394,1900,1.53,-0.28
82.30,TAKEOFF,TAKEOFF,1,28.5599675,77.1164298,23.00,10.23,11.20,48.15,-7.57,147.95,14.96,19.51,34.95,-7.73,-9.46,5.98,1.52,-1.52,90,6.11,6.61,1900,1384,1900,1.23,-1.05
82.50,TAKEOFF,TAKEOFF,1,28.5599491,77.1164410,22.64,10.84,11.82,49.92,-10.00,155.69,14.36,22.09,33.36,-9.52,-10.73,4.94,1.98,-1.98,90,6.01,6.22,1900,1381,1900,0.97,-1.49
82.71,TAKEOFF,TAKEOFF,1,28.5599175,77.1164529,21.92,11.80,12.75,51.66,-12.87,167.50,12.78,25.24,30.23,-11.67,-12.41,2.86,2.63,-2.63,90,5.89,5.83,1900,1385,1900,0.59,-1.94
82.91,TAKEOFF,TAKEOFF,1,28.5598944,77.1164568,21.35,12.43,13.34,52.23,-14.24,175.41,11.56,26.49,28.12,-12.67,-13.29,1.18,3.00,-3.00,90,5.68,5.67,1900,1385,1900,0.36,-2.09
83.11,TAKEOFF,TAKEOFF,1,28.5598701,77.1164570,20.72,13.05,13.92,52.41,-15.19,-176.71,10.36,27.66,26.22,-13.38,-13.90,-0.69,3.31,-3.31,90,5.37,5.57,1900,1385,1900,0.06,-2.17
83.32,TAKEOFF,TAKEOFF,1,28.5598450,77.1164533,20.04,13.67,14.48,52.27,-15.72,-168.82,9.28,28.84,24.60,-13.75,-14.22,-2.69,3.54,-3.54,90,5.26,5.58,1900,1383,1900,-0.11,-2.21
83.52,TAKEOFF,TAKEOFF,1,28.5598196,77.1164453,19.32,14.28,15.02,51.88,-15.84,-160.93,8.34,29.90,23.20,-13.70,-14.23,-4.78,3.66,-3.66,90,5.00,5.60,1900,1380,1900,-0.23,-2.25
83.73,TAKEOFF,TAKEOFF,1,28.5597945,77.1164331,18.60,14.83,15.52,51.33,-15.57,-153.05,7.52,30.79,21.95,-13.34,-13.90,-6.89,3.68,-3.68,90,1.88,5.07,1900,1380,1900,-0.33,-2.29
83.93,TAKEOFF,TAKEOFF,1,28.5597702,77.1164163,17.88,15.32,16.00,50.71,-14.97,-145.22,6.80,31.00,20.82,-12.65,-13.23,-8.98,3.59,-3.59,90,-3.76,4.05,1900,1384,1900,-0.43,-2.31
84.14,TAKEOFF,TAKEOFF,1,28.5597474,77.1163954,17.19,15.71,16.43,50.10,-14.13,-137.57,6.18,31.15,19.83,-11.73,-12.24,-10.95,3.41,-3.41,90,-5.00,3.93,1900,1385,1900,-0.56,-2.32
84.34,TAKEOFF,TAKEOFF,1,28.5597267,77.1163706,16.54,16.04,16.80,49.53,-13.05,-130.04,5.64,31.38,19.02,-10.59,-10.94,-12.74,3.14,-3.14,90,-5.00,4.04,1900,1386,1900,-0.72,-2.30
84.55,TAKEOFF,TAKEOFF,1,28.5597085,77.1163424,15.97,16.42,17.12,49.03,-11.77,-122.63,5.23,31.51,18.40,-9.26,-9.38,-14.31,2.79,-2.79,90,-5.00,4.14,1894,1388,1900,-0.80,-2.28
84.75,TAKEOFF,TAKEOFF,1,28.5596935,77.1163115,15.48,16.67,17.35,48.67,-10.33,-115.33,5.18,31.48,17.92,-7.81,-7.59,-15.60,2.38,-2.38,90,-5.00,4.21,1887,1390,1900,-0.88,-2.26
84.96,TAKEOFF,TAKEOFF,1,28.5596819,77.1162786,15.09,16.87,17.51,48.53,-8.80,-108.15,5.28,31.34,17.54,-6.26,-5.63,-16.57,1.92,-1.92,90,-5.00,4.24,1880,1393,1900,-0.98,-2.22
85.16,TAKEOFF,TAKEOFF,1,28.5596740,77.1162441,14.78,16.93,17.58,48.60,-7.23,-101.07,5.41,31.16,17.35,-4.69,-3.54,-17.21,1.44,-1.44,90,-5.00,4.22,1876,1396,1900,-1.07,-2.18
85.37,TAKEOFF,TAKEOFF,1,28.5596699,77.1162089,14.58,16.97,17.59,48.91,-5.70,-94.05,5.54,30.93,17.35,-3.12,-1.38,-17.53,0.96,-0.96,90,-5.00,4.16,1874,1398,1900,-1.17,-2.13
85.57,TAKEOFF,TAKEOFF,1,28.5596696,77.1161733,14.46,17.01,17.54,49.42,-4.27,-87.07,5.67,30.71,17.52,-1.67,0.78,-17.51,0.51,-0.51,90,-5.00,4.06,1874,1402,1900,-1.32,-2.07
85.77,TAKEOFF,TAKEOFF,1,28.5596732,77.1161381,14.43,16.95,17.44,50.13,-2.99,-80.08,5.82,30.48,17.83,-0.36,2.93,-17.18,0.11,-0.11,90,-5.00,3.92,1875,1405,1900,-1.43,-2.02
85.98,TAKEOFF,TAKEOFF,1,28.5596805,77.1161039,14.47,16.89,17.30,51.01,-1.89,-73.08,5.97,30.27,18.24,0.73,5.01,-16.56,-0.22,0.22,90,-5.00,3.75,1876,1407,1900,-1.55,-1.99
86.18,TAKEOFF,TAKEOFF,1,28.5596914,77.1160710,14.58,16.81,17.16,52.05,-1.01,-66.01,6.13,30.13,18.74,1.64,7.00,-15.66,-0.49,0.49,90,-5.00,3.55,1878,1410,1900,-1.71,-1.94
86.39,TAKEOFF,TAKEOFF,1,28.5597059,77.1160401,14.73,16.70,17.01,53.22,-0.38,-58.90,6.29,30.03,19.31,2.29,8.85,-14.52,-0.68,0.68,90,-5.00,3.33,1882,1412,1900,-1.83,-1.90
86.59,TAKEOFF,TAKEOFF,1,28.5597235,77.1160118,14.90,16.54,16.87,54.48,-0.02,-51.73,6.44,29.98,19.95,2.65,10.55,-13.15,-0.78,0.78,90,-5.00,3.09,1886,1413,1900,-1.94,-1.86
86.80,TAKEOFF,TAKEOFF,1,28.5597441,77.1159864,15.09,16.41,16.74,55.80,0.08,-44.47,6.60,30.00,20.63,2.74,12.07,-11.58,-0.80,0.80,90,-5.00,2.85,1890,1414,1900,-2.06,-1.84
87.00,TAKEOFF,TAKEOFF,1,28.5597671,77.1159645,15.28,16.29,16.62,57.14,-0.09,-37.13,6.74,30.14,21.32,2.58,13.39,-9.84,-0.75,0.75,90,-5.00,2.62,1896,1414,1900,-2.12,-1.84
87.21,TAKEOFF,TAKEOFF,1,28.5597920,77.1159466,15.44,16.17,16.52,58.46,-0.52,-29.68,6.85,30.31,22.00,2.15,14.48,-7.94,-0.62,0.62,90,-5.00,2.39,1900,1414,1900,-2.15,-1.87
87.41,TAKEOFF,TAKEOFF,1,28.5598323,77.1159272,15.63,16.00,16.41,60.34,-1.63,-18.35,7.16,30.70,22.89,1.08,15.67,-4.86,-0.31,0.31,90,-5.00,2.08,1900,1413,1900,-2.17,-1.98
87.62,TAKEOFF,TAKEOFF,1,28.5598606,77.1159196,15.69,15.96,16.38,61.51,-2.65,-10.69,7.42,31.04,23.33,0.07,16.16,-2.70,-0.02,0.02,90,-5.00,1.90,1900,1411,1900,-2.16,-2.08
87.82,TAKEOFF,TAKEOFF,1,28.5598895,77.1159165,15.68,15.94,16.39,62.58,-3.86,-2.95,7.62,31.44,23.66,-1.05,16.38,-0.47,0.30,-0.30,90,-5.00,1.74,1900,1410,1900,-2.14,-2.17
88.03,TAKEOFF,TAKEOFF,1,28.5599187,77.1159180,15.59,15.92,16.43,63.50,-5.22,4.88,7.76,31.89,23.88,-2.37,16.33,1.78,0.68,-0.68,90,-5.00,1.61,1900,1408,1900,-2.10,-2.27
88.23,TAKEOFF,TAKEOFF,1,28.5599478,77.1159240,15.43,15.97,16.52,64.25,-6.69,12.84,7.83,32.35,23.95,-3.81,16.01,4.05,1.10,-1.10,90,-5.00,1.50,1900,1406,1900,-2.04,-2.40
88.43,TAKEOFF,TAKEOFF,1,28.5599762,77.1159348,15.16,16.07,16.64,64.79,-8.21,20.85,7.82,32.82,23.87,-5.29,15.39,6.30,1.54,-1.54,90,-5.00,1.43,1900,1404,1900,-1.97,-2.51
88.64,TAKEOFF,TAKEOFF,1,28.5600031,77.1159501,14.82,16.18,16.78,65.10,-9.72,28.96,7.73,33.19,23.63,-6.73,14.47,8.47,1.98,-1.98,90,-5.00,1.39,1900,1405,1900,-1.90,-2.63
88.84,TAKEOFF,TAKEOFF,1,28.5600282,77.1159698,14.38,16.34,16.94,65.15,-11.18,37.11,7.57,33.40,23.25,-8.10,13.26,10.53,2.41,-2.41,90,5.00,2.97,1900,1405,1900,-1.80,-2.79
89.05,TAKEOFF,TAKEOFF,1,28.5600505,77.1159933,13.86,16.51,17.11,64.96,-12.51,45.31,7.33,33.65,22.74,-9.33,11.75,12.42,2.81,-2.81,90,5.00,3.00,1900,1405,1900,-1.72,-2.91
89.25,TAKEOFF,TAKEOFF,1,28.5600699,77.1160203,13.27,16.75,17.28,64.52,-13.66,53.56,7.02,33.89,22.14,-10.40,9.97,14.10,3.17,-3.17,90,5.00,3.08,1900,1404,1900,-1.62,-3.03
89.46,TAKEOFF,TAKEOFF,1,28.5600857,77.1160504,12.61,16.95,17.46,63.86,-14.60,61.84,6.70,34.18,21.48,-11.27,7.96,15.54,3.48,-3.48,90,5.00,3.20,1897,1403,1900,-1.48,-3.16
89.66,TAKEOFF,TAKEOFF,1,28.5600978,77.1160831,11.89,17.24,17.65,63.03,-15.29,70.15,6.45,34.44,20.77,-11.90,5.73,16.69,3.72,-3.72,90,5.00,3.36,1894,1401,1900,-1.36,-3.24
89.86,TAKEOFF,TAKEOFF,1,28.5601058,77.1161179,11.14,17.49,17.85,62.07,-15.71,78.47,6.20,34.71,20.05,-12.27,3.34,17.53,3.88,-3.88,90,5.00,3.54,1890,1399,1900,-1.25,-3.31
90.07,TAKEOFF,TAKEOFF,1,28.5601094,77.1161541,10.37,17.73,18.05,61.02,-15.84,86.78,6.00,34.97,19.36,-12.37,0.84,18.03,3.96,-3.96,90,5.00,3.74,1886,1397,1900,-1.11,-3.38
90.27,TAKEOFF,TAKEOFF,1,28.5601085,77.1161911,9.58,18.01,18.25,59.95,-15.68,95.10,5.84,35.17,18.72,-12.22,-1.74,18.16,3.95,-3.95,90,5.00,3.95,1882,1394,1900,-1.01,-3.41
90.48,TAKEOFF,TAKEOFF,1,28.5601030,77.1162282,8.81,18.20,18.44,58.90,-15.26,103.35,5.71,35.39,18.16,-11.80,-4.33,17.92,3.85,-3.85,90,5.00,4.16,1878,1391,1900,-0.93,-3.43
90.69,TAKEOFF,TAKEOFF,1,28.5600927,77.1162645,8.06,18.31,18.63,57.93,-14.61,111.54,5.62,35.46,17.68,-11.15,-6.86,17.31,3.67,-3.67,90,5.00,4.36,1875,1390,1900,-0.84,-3.44
90.89,TAKEOFF,TAKEOFF,1,28.5600779,77.1162992,7.35,18.49,18.78,57.07,-13.76,119.65,5.55,35.41,17.29,-10.32,-9.28,16.32,3.42,-3.42,90,5.00,4.53,1873,1390,1900,-0.80,-3.44
91.10,TAKEOFF,TAKEOFF,1,28.5600592,77.1163313,6.71,18.56,18.89,56.34,-12.74,127.65,5.47,35.26,17.02,-9.32,-11.51,14.97,3.10,-3.10,90,5.00,4.68,1871,1390,1900,-0.77,-3.44
91.30,TAKEOFF,TAKEOFF,1,28.5600368,77.1163602,6.13,18.63,18.95,55.75,-11.61,135.55,5.43,35.10,16.84,-8.20,-13.48,13.31,2.73,-2.73,90,5.00,4.80,1870,1391,1900,-0.76,-3.42
91.51,TAKEOFF,TAKEOFF,1,28.5600111,77.1163853,5.64,18.68,18.97,55.34,-10.40,143.35,5.42,34.87,16.75,-7.01,-15.17,11.37,2.33,-2.33,90,5.00,4.88,1870,1391,1900,-0.77,-3.41
91.71,TAKEOFF,TAKEOFF,1,28.5599677,77.1164151,5.05,18.63,18.91,55.05,-8.58,154.91,5.42,34.54,16.79,-5.17,-17.09,8.08,1.71,-1.71,90,5.00,4.94,1870,1393,1900,-0.83,-3.36
91.92,TAKEOFF,TAKEOFF,1,28.5599363,77.1164291,4.75,18.55,18.83,55.08,-7.40,162.55,5.44,34.27,16.94,-3.98,-17.94,5.70,1.31,-1.31,90,5.00,4.94,1872,1395,1900,-0.90,-3.33
92.12,TAKEOFF,TAKEOFF,1,28.5599037,77.1164383,4.54,18.45,18.71,55.26,-6.30,170.14,5.47,34.02,17.16,-2.91,-18.42,3.24,0.95,-0.95,90,5.00,4.90,1874,1396,1900,-1.00,-3.27
92.32,TAKEOFF,TAKEOFF,1,28.5598702,77.1164424,4.39,18.36,18.57,55.59,-5.30,177.74,5.49,33.79,17.47,-1.91,-18.55,0.74,0.62,-0.62,90,5.00,4.83,1877,1398,1900,-1.10,-3.22
92.53,TAKEOFF,TAKEOFF,1,28.5598368,77.1164413,4.30,18.25,18.42,56.06,-4.46,-174.69,5.53,33.55,17.83,-1.06,-18.33,-1.72,0.34,-0.34,90,5.00,4.74,1880,1399,1900,-1.22,-3.16
92.73,TAKEOFF,TAKEOFF,1,28.5598040,77.1164353,4.26,18.06,18.26,56.63,-3.78,-167.11,5.58,33.34,18.25,-0.38,-17.78,-4.13,0.12,-0.12,90,5.00,4.62,1883,1400,1900,-1.37,-3.07
92.94,TAKEOFF,TAKEOFF,1,28.5597724,77.1164245,4.26,17.93,18.10,57.29,-3.27,-159.51,5.63,33.19,18.70,0.09,-16.92,-6.42,-0.03,0.03,90,5.00,4.48,1887,1402,1900,-1.49,-3.01
93.14,TAKEOFF,TAKEOFF,1,28.5597428,77.1164091,4.28,17.76,17.94,58.01,-2.94,-151.88,5.68,33.06,19.19,0.42,-15.76,-8.57,-0.13,0.13,90,5.00,4.34,1892,1402,1900,-1.59,-2.95
93.35,TAKEOFF,TAKEOFF,1,28.5597157,77.1163897,4.32,17.57,17.77,58.76,-2.79,-144.22,5.73,32.96,19.69,0.55,-14.32,-10.52,-0.17,0.17,90,1.63,3.53,1896,1404,1900,-1.71,-2.89
93.55,TAKEOFF,TAKEOFF,1,28.5596915,77.1163666,4.36,17.44,17.62,59.53,-2.84,-136.54,5.78,32.68,20.19,0.52,-12.65,-12.25,-0.16,0.16,90,-5.00,2.22,1900,1406,1900,-1.82,-2.85
93.76,TAKEOFF,TAKEOFF,1,28.5596705,77.1163402,4.38,17.30,17.49,60.29,-3.10,-128.85,5.89,32.66,20.65,0.26,-10.79,-13.76,-0.08,0.08,90,-5.00,2.09,1900,1407,1900,-1.92,-2.82
93.96,TAKEOFF,TAKEOFF,1,28.5596529,77.1163110,4.39,17.22,17.38,61.03,-3.53,-121.11,6.10,32.72,21.04,-0.16,-8.75,-15.01,0.05,-0.05,90,-5.00,1.98,1900,1407,1900,-2.04,-2.78
94.17,TAKEOFF,TAKEOFF,1,28.5596391,77.1162794,4.36,17.13,17.30,61.75,-4.12,-113.32,6.30,32.84,21.38,-0.76,-6.58,-15.99,0.23,-0.23,90,-5.00,1.86,1900,1407,1900,-2.11,-2.75
94.37,TAKEOFF,TAKEOFF,1,28.5596292,77.1162458,4.28,17.00,17.25,62.42,-4.85,-105.45,6.47,32.99,21.66,-1.49,-4.29,-16.71,0.45,-0.45,90,-5.00,1.77,1900,1406,1900,-2.14,-2.74
94.58,TAKEOFF,TAKEOFF,1,28.5596235,77.1162109,4.16,16.95,17.25,63.01,-5.70,-97.55,6.60,33.16,21.87,-2.36,-1.93,-17.13,0.71,-0.71,90,-5.00,1.68,1900,1405,1900,-2.24,-2.69
94.78,TAKEOFF,TAKEOFF,1,28.5596221,77.1161754,3.97,16.93,17.27,63.49,-6.65,-89.60,6.70,33.38,22.01,-3.31,0.47,-17.26,1.00,-1.00,90,-5.00,1.61,1900,1404,1900,-2.28,-2.68
94.99,TAKEOFF,TAKEOFF,1,28.5596251,77.1161399,3.73,16.94,17.31,63.84,-7.64,-81.59,6.74,33.61,22.05,-4.30,2.89,-17.06,1.30,-1.30,90,-5.00,1.56,1900,1403,1900,-2.30,-2.69
95.19,TAKEOFF,TAKEOFF,1,28.5596323,77.1161053,3.42,16.95,17.37,64.05,-8.64,-73.53,6.74,33.84,21.99,-5.30,5.27,-16.55,1.61,-1.61,90,-5.00,1.53,1900,1402,1900,-2.29,-2.72
95.40,TAKEOFF,TAKEOFF,1,28.5596437,77.1160723,3.06,17.06,17.44,64.09,-9.61,-65.41,6.68,34.06,21.84,-6.22,7.57,-15.70,1.90,-1.90,90,-5.00,1.52,1900,1401,1900,-2.26,-2.76
95.60,TAKEOFF,TAKEOFF,1,28.5596591,77.1160414,2.65,17.17,17.52,63.98,-10.51,-57.25,6.57,34.29,21.61,-7.10,9.76,-14.54,2.18,-2.18,90,-5.00,1.54,1900,1400,1900,-2.21,-2.81
95.81,TAKEOFF,TAKEOFF,1,28.5596782,77.1160132,2.18,17.22,17.61,63.72,-11.32,-49.05,6.42,34.49,21.30,-7.89,11.78,-13.08,2.44,-2.44,90,-5.00,1.58,1900,1399,1900,-2.13,-2.88
96.01,TAKEOFF,TAKEOFF,1,28.5597134,77.1159772,1.39,17.41,17.77,63.06,-12.30,-36.70,6.13,34.77,20.75,-8.83,14.41,-10.38,2.76,-2.76,90,-5.00,1.67,1900,1398,1900,-2.02,-2.97
96.22,TAKEOFF,TAKEOFF,1,28.5597404,77.1159581,0.81,17.57,17.89,62.46,-12.76,-28.45,5.91,34.90,20.34,-9.24,15.85,-8.29,2.91,-2.91,90,-5.00,1.76,1900,1397,1900,-1.95,-3.02
96.42,TAKEOFF,TAKEOFF,1,28.5597699,77.1159434,0.20,17.70,18.01,61.76,-13.04,-20.17,5.68,35.00,19.92,-9.52,16.98,-5.99,3.02,-3.02,90,-5.00,1.86,1900,1396,1900,-1.87,-3.07
96.63,TAKEOFF,TAKEOFF,1,28.5598012,77.1159332,-0.34,17.76,17.98,31.93,-5.61,-11.71,-361.34,92.28,-47.54,-2.33,17.39,-4.56,0.73,-0.73,90,-5.00,7.66,1805,1415,1435,0.28,-2.82
