t,alt,asp,gsp,roll,pitch,yaw,p,q,r,navroll,navpitch,ail,elev,rud,thr,armed,mode
51.674,52.275,12.472829818725586,13.31228256225586,-32.39556674280297,13.94044683184729,116.10010192701034,-0.33188636229032425,5.289920467359169,-9.883316172407008,-36.66999816894531,8.809999465942383,1786,1282,1643,90,True,13
51.726,52.34,12.465214729309082,13.33056640625,-32.518872147889205,13.9082262682114,115.63782106360554,-0.2656404108912235,5.311037704725556,-9.900850975553723,-36.66999816894531,8.809999465942383,1786,1282,1643,90,True,13
51.778,52.437,12.465214729309082,13.359475135803223,-32.69076410363633,13.859770344918392,114.94563603273811,0.11336619918340227,5.326383005356458,-9.807886124534326,-20.529998779296875,8.739999771118164,1697,1283,1598,90,True,13
51.830,52.501,12.460110664367676,13.379764556884766,-32.773569902038986,13.83231298445494,114.49187241522831,0.8338876572048075,5.341600666827247,-9.581948589432182,-20.529998779296875,8.739999771118164,1685,1283,1592,90,True,13
51.880,52.596,12.460110664367676,13.410600662231445,-32.8457479260931,13.799179736791208,113.82413946158952,1.7418938592399489,5.367715041345145,-9.298434267174123,-21.809999465942383,8.699999809265137,1685,1283,1592,90,True,13
51.934,52.659,12.489004135131836,13.431072235107422,-32.86765575785591,13.781215485500429,113.3852315055245,2.183167301913614,5.3823978136265564,-9.167810314392213,-21.809999465942383,8.699999809265137,1683,1283,1591,90,True,13
51.986,52.753,12.489004135131836,13.463815689086914,-32.873628758285086,13.757705974377245,112.73303040205833,2.6546010456930573,5.400467932849471,-9.040592064685203,-23.09000015258789,8.639999389648438,1688,1284,1594,90,True,13
52.038,52.816,12.587763786315918,13.486257553100586,-32.86624190869772,13.741577336425905,112.29151331373036,2.8606157727599206,5.390615384971728,-9.014249732603755,-23.09000015258789,8.639999389648438,1688,1284,1594,90,True,13
52.090,52.908,12.587763786315918,13.51819133758545,-32.84258554850738,13.7182778536197,111.64347179546873,3.076247406178162,5.397481859521706,-9.00846370860311,-24.369998931884766,8.539999961853027,1694,1285,1597,90,True,13
52.141,52.969,12.655244827270508,13.538797378540039,-32.82217694326738,13.702137262837313,111.21108667006106,3.148931291117676,5.390243566548786,-9.031063950793035,-24.369998931884766,8.539999961853027,1694,1285,1597,90,True,13
52.191,53.06,12.655244827270508,13.570677757263184,-32.78773912947217,13.676756279881547,110.56063409502241,3.2258795619768046,5.39920178653208,-9.081624426124055,-25.60999870300293,8.470000267028809,1701,1286,1600,90,True,13
