Monte Carlo Case #0001  [uSTOL FBWA open-loop profile]
======================================================================

Timestamp : 2026-06-18T16:30:59.228004
roll_theta_aL                0.000638       0.000488   -23.45%
roll_theta_aR               -0.000677      -0.000631    +6.78%
roll_theta_aLcu              0.000108       0.000129   +19.64%
roll_theta_aRcu             -0.000094      -0.000106   -12.55%
roll_theta_b                -0.000381      -0.000412    -8.11%
roll_theta_b_cu              0.000069       0.000088   +26.95%
roll_theta_r                 0.000497       0.000505    +1.54%
roll_Clp                    -0.642739      -0.587094    +8.66%
roll_Clr                     0.398063       0.310235   -22.06%
pitch_Cmq                  -29.186868     -26.446846    +9.39%
yaw_theta0                   0.000281       0.000231   -17.75%
yaw_theta_b                  0.003317       0.002227   -32.88%
yaw_theta_aL                -0.000016      -0.000015    +4.21%
yaw_theta_aR                 0.000001       0.000001   -15.72%
yaw_theta_r                 -0.001842      -0.001937    -5.14%
yaw_theta_bcu               -0.000090      -0.000114   -26.18%
yaw_theta_aLcu              -0.000029      -0.000028    +5.01%
yaw_theta_aRcu               0.000027       0.000027    -0.97%
yaw_Cnp                     -0.139344      -0.107602   +22.78%
yaw_Cnr                     -0.162811      -0.137492   +15.55%
yaw_beta0                   11.999974      12.252819    +2.11%
yaw_kcu                      0.000009       0.000009    +0.63%
yaw_kv                       0.290114       0.263710    -9.10%
yaw_kps_r                    0.655515       0.541814   -17.35%
yaw_M                       59.998281      70.072857   +16.79%
prop_cmyu_J2                 0.532110       0.640692   +20.41%
prop_cmyu_0                  0.036690       0.027671   -24.58%
prop_CT_1                    0.691683       0.462452   -33.14%
prop_CT_J                   -0.734466      -0.777657    -5.88%
prop_CT_JM                   1.647050       1.594919    -3.17%
max_thrust                   4.905000       4.984678    +1.62%

======================================================================
Result
----------------------------------------------------------------------
  Profile result    : climb_timeout
  Takeoff success   : True
  Reached hold      : False
  Max altitude (m)  : 47.4
  Ground roll (m)   : 49.893587759196535
  Liftoff Vlof (m/s): 9.666789054870605
  Exit reason       : climb_timeout
